Nom,Dosage,Forme,DCI,Classe,Sous Classe,Indications,G/P/B
AMOXICILLINE SANOFI,500 mg,Gélule,AMOXICILLINE,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIBACTERIENS (USAGE SYSTEMIQUE),"AMOXICILLINE SANOFI  est indiqué dans le traitement des infections
suivantes chez l'adulte et l'enfant :
· Sinusite bactérienne aiguë
· Otite moyenne aiguë
· Angine/pharyngite documentée à streptocoque
· Exacerbations aiguës de bronchites chroniques
",Générique
AMOXICILLINE SANOFI,500 mg,Gélule,AMOXICILLINE,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIBACTERIENS (USAGE SYSTEMIQUE),"Elles sont limitées aux Infections dues aux germes définis comme
sensibles :
1/ Chez l'adulte et l'enfant :
En traitement initial des:
* pneumopathies aiguës;
* surinfections de bronchites aigues et exacerbations de bronchites
chroniques;
* infection",Générique
AMOXICILLINE/ACIDE CLAVULANIQUE PANPHARMA ADULTES,1 gr/200 mg,Pdre p.prep.injectable,AMOXICILLINE+ACIDE CLAVULANIQUE,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIBACTERIENS (USAGE SYSTEMIQUE),"AMOXICILLINE/ACIDE CLAVULANIQUE PANPHARMA est indiqué pour le
traitement des infections suivantes chez l'adulte et l'enfant  :
· infections sévères O.R.L. (telles que mastoïdite, infections
péri-amygdaliennes, épiglottite et sinusite, lorsqu'elles so",Générique
AMOXICILLINE/ACIDE CLAVULANIQUE PANPHARMA ADULTES,1 gr/200 mg,Pdre p.prep.injectable,AMOXICILLINE+ACIDE CLAVULANIQUE,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIBACTERIENS (USAGE SYSTEMIQUE),"AMOXICILLINE/ACIDE CLAVULANIQUE PANPHARMA est indiqué pour le
traitement des infections suivantes chez l'adulte et l'enfant  :
· infections sévères O.R.L. (telles que mastoïdite, infections
péri-amygdaliennes, épiglottite et sinusite, lorsqu'elles so",Générique
AMOXICILLINE/ACIDE CLAVULANIQUE PANPHARMA ADULTES,2gr/200 mg,Pdre p.prep.injectable,AMOXICILLINE+ACIDE CLAVULANIQUE,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIBACTERIENS (USAGE SYSTEMIQUE),"Elles sont limitées aux infections dues aux germes reconnus sensibles,
notamment à certaines situations où les espèces bactériennes
responsables de l'infection peuvent être multiples et/ou résistantes
aux antibiotiques actuellement disponibles. Sur c",Générique
AMOXIL,0.5 GR,Pdre p.prep.injectable,AMOXICILLINE,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIBACTERIENS (USAGE SYSTEMIQUE),"Infections dues aux germes sensibles notamment dans leurs
manifestations:
- Pneumopathies aigues;
- Surinfections de bronchites aigues et exacerbation de bronchites
chroniques
- O.R.L et stomatologiques;
- Rénales et urogénétales;
- Gynécologiques;
-",Générique
AMOXIL,1 GR,Pdre p.prep.injectable,AMOXICILLINE,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIBACTERIENS (USAGE SYSTEMIQUE),"Infections dues aux germes sensibles notamment dans leurs
manifestations:
- Pneumopathies aigues;
- Surinfections de bronchites aigues et exacerbation de bronchites
chroniques
- O.R.L et stomatologiques;
- Rénales et urogénétales;
- Gynécologiques;
-",Générique
AMOXIL IM IV,0.5 gr,Pdre p.prep.injectable,AMOXICILLINE,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIBACTERIENS (USAGE SYSTEMIQUE),"Infections dues aux germes sensibles notamment dans leurs
manifestations:
- Pneumopathies aigues;
- Surinfections de bronchites aigues et exacerbation de bronchites
chroniques
- O.R.L et stomatologiques;
- Rénales et urogénétales;
- Gynécologiques;
-",Générique
AMPICIL,0.5 GR,Pdre p.prep.injectable,AMPICILLINE,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIBACTERIENS (USAGE SYSTEMIQUE),"Elles procèdent de l'activité antibactérienne et des caractéristiques
pharmacocinétiques de l'ampicilline. Elles tiennent compte à la fois
des études cliniques auxquelles a donné lieu le médicament et de sa
place dans l'éventail des produits antibact",Générique
AMPICIL,1 GR,Pdre p.prep.injectable,AMPICILLINE,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIBACTERIENS (USAGE SYSTEMIQUE),"Elles procèdent de l'activité antibactérienne et des caractéristiques
pharmacocinétiques de l'ampicilline. Elles tiennent compte à la fois
des études cliniques auxquelles a donné lieu le médicament et de sa
place dans l'éventail des produits antibact",Générique
AMPICIL,1 GR,Pdre p.prep.injectable,AMPICILLINE,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIBACTERIENS (USAGE SYSTEMIQUE),"Elles procèdent de l'activité antibactérienne et des caractéristiques
pharmacocinétiques de l'ampicilline. Elles tiennent compte à la fois
des études cliniques auxquelles a donné lieu le médicament et de sa
place dans l'éventail des produits antibact",Générique
AMPICIL IM IV,0.5 gr,Pdre p.prep.injectable,AMPICILLINE,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIBACTERIENS (USAGE SYSTEMIQUE),"Elles procèdent de l'activité antibactérienne et des caractéristiques
pharmacocinétiques de l'ampicilline. Elles tiennent compte à la fois
des études cliniques auxquelles a donné lieu le médicament et de sa
place dans l'éventail des produits antibact",Générique
AMPICILLINE,1 GR,Pdre p.prep.injectable,AMPICILLINE,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIBACTERIENS (USAGE SYSTEMIQUE),"INFECTIONS DES VOIES RESPIRATOIRES INFERIEURES  ET SUPERIEURES,
PNEUMONIES,ABCES PULMONAIRES.
INFECTIONS URINAIRES.
OTITES,SINUSITES,TONSILITES.
INFECTIONS GYNECOLOGIQUES ET DU PETIT BASSIN.
INFECTIONS BILIAIRES ET GASTRO-INTESTINALES.
INFECTIONS DE",Générique
AMUCHINA 5%,,Solution externe,HYPOCHLORITE DE SODIUM,MEDICAMENTS DERMATOLOGIQUES,ANTISEPTIQUES ET DESINFECTANTS,"Antisepsie de la peau, des muqueuses et des plaies.",Générique
AMUCHINA 5%,5%,Solution externe,HYPOCHLORITE DE SODIUM,MEDICAMENTS DERMATOLOGIQUES,ANTISEPTIQUES ET DESINFECTANTS,"Antisepsie de la peau, des muqueuses et des plaies.",Générique
AMUCHINA 5%,,Solution externe,HYPOCHLORITE DE SODIUM,MEDICAMENTS DERMATOLOGIQUES,ANTISEPTIQUES ET DESINFECTANTS,"Antisepsie de la peau, des muqueuses et des plaies.",Générique
AMURETIC,,Comprimé,AMILORIDE+HYDROCHLOROTHIAZIDE,SYSTEME CARDIOVASCULAIRE,DIURETIQUES,"OEDEMES CARDIAQUES.
HYPERTENSION ARTERIELLE.
ASCITE ET OEDEMES DES CIRRHOTIQUES.",Générique
AMUSTIL,0.50%,Creme dermique,IRGASAN DP 300,MEDICAMENTS DERMATOLOGIQUES,ANTISEPTIQUES ET DESINFECTANTS,"Désinfection de petites brulures, brulures légères, excoriations,
blessures superficielles et érythèmes cutanés et solaires.
Le traitement avec AMUSTIL crème maintient l'asepsie de zones cutanées
brulées ou lésées favorisant ainsi les processus répar",Générique
AMUSTIL,,Creme dermique,IRGASAN DP 300,MEDICAMENTS DERMATOLOGIQUES,ANTISEPTIQUES ET DESINFECTANTS,"DESINFECTION DE PETITES BRULURES, BRULURES LEGERES, EXCORIATIONS,
BLESSURES SUPERFICIELLES ET ERYTHEMES CUTANES ET SOLAIRES.
LE TRAITEMENT AVEC AMUSTIL CREME MAINTIENT L'ASEPSIE DES ZONES
CUTANEES BRULEES OU LESEES FAVORISANT AINSI LES PROCESSUS REPA",Générique
AMVISC PLUS,16 mg/ml,Préparation Viscoélastique,HYALURONATE DE SODIUM,ORGANES SENSORIELS,MEDICAMENTS OPHTALMOLOGIQUES,"AMVISC PLUS est indiqué comme aide en chirurgie ophtalmique:
- pour l'implantation de lentilles intraoculaires,
- l'extraction de la cataracte
- la transplantation cornéenne
- la chirurgie filtrane du glaucome
- les interventions chirurgicales pour r",Princeps
AMYTRIL 10,10 mg,Comprimé pelliculé,AMITRIPTYLINE,SYSTEME NERVEUX,PSYCHOANALEPTIQUES,"- Symptômes de dépression (en particulier lorsqu'une sédation est
requise)
L'amytriptyline est indiquée dans le traitement de  l'énurésie
nocturne chez les enfants âgés de 6ans et plus, lorsque la pathologie
organique a été exclue et qu'aucune répons",Générique
AMYTRIL 10,10 mg,Comprimé pelliculé,AMITRIPTYLINE,SYSTEME NERVEUX,PSYCHOANALEPTIQUES,"- Symptômes de dépression (en particulier lorsqu'une sédation est
requise)
L'amytriptyline est indiquée dans le traitement de  l'énurésie
nocturne chez les enfants âgés de 6ans et plus, lorsque la pathologie
organique a été exclue et qu'aucune répons",Générique
AMYTRIL 10,10 mg,Comprimé pelliculé,AMITRIPTYLINE,SYSTEME NERVEUX,PSYCHOANALEPTIQUES,"- Symptômes de dépression (en particulier lorsqu'une sédation est
requise)
L'amytriptyline est indiquée dans le traitement de  l'énurésie
nocturne chez les enfants âgés de 6ans et plus, lorsque la pathologie
organique a été exclue et qu'aucune répons",Générique
AMYTRIL 25,25 mg,Comprimé pelliculé,AMITRIPTYLINE,SYSTEME NERVEUX,PSYCHOANALEPTIQUES,"- Traitement des épisodes dépressifs majeurs.
- Traitement de l'énuresie nocturne de l'enfant dans le cas ou toute
pathologie organique a été exclue.",Générique
AMYTRIL 25,25 mg,Comprimé pelliculé,AMITRIPTYLINE,SYSTEME NERVEUX,PSYCHOANALEPTIQUES,"- Traitement des épisodes dépressifs majeurs.
- Traitement de l'énuresie nocturne de l'enfant dans le cas ou toute
pathologie organique a été exclue.",Générique
AMYTRIL 25,25 mg,Comprimé pelliculé,AMITRIPTYLINE,SYSTEME NERVEUX,PSYCHOANALEPTIQUES,"- Traitement des épisodes dépressifs majeurs.
- Traitement de l'énuresie nocturne de l'enfant dans le cas ou toute
pathologie organique a été exclue.",Générique
ANAERYL,250 mg,Comprimé pelliculé,METRONIDAZOLE,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIBACTERIENS (USAGE SYSTEMIQUE),"Elles procèdent de l'activité antiparasitaire et antibactérienne du
métronidazole et de ses caractéristiques pharmacocinétiques. Elles
tiennent compte à la fois des études cliniques auxquelles a donné lieu
ce médicament et de sa place dans l'éventail",Générique
ANAFRANIL,10 mg,Comprime enrobé,CLOMIPRAMINE,SYSTEME NERVEUX,PSYCHOANALEPTIQUES,"- Episodes dépressifs majeurs (c'est-à-dire caractérisés),
- Troubles obsessionnels compulsifs;
- Prévention des attaques de panique avec ou sans agoraphobie;
- Certains états dépressifs apparaissant lors des schizophrénies, en
association avec un tr",Princeps
ANAFRANIL,25 mg,Comprime enrobé,CLOMIPRAMINE,SYSTEME NERVEUX,PSYCHOANALEPTIQUES,"- Episodes dépressifs majeurs (c'est-à-dire caractérisés),
- Troubles obsessionnels compulsifs;
- Prévention des attaques de panique avec ou sans agoraphobie;
- Certains états dépressifs apparaissant lors des schizophrénies, en
association avec un tr",Princeps
ANAFRANIL,25 mg,Solution injectable,CLOMIPRAMINE,SYSTEME NERVEUX,PSYCHOANALEPTIQUES,"- Episodes dépressifs majeurs (c'est-à-dire caractérisés),
- troubles obsessionnels compulsifs
- Douleurs neuropathiques de l'adulte.",Princeps
ANAFRANIL 75 MG,75 MG,Comprimé pelliculé sécable,CLOMIPRAMINE,SYSTEME NERVEUX,PSYCHOANALEPTIQUES,"- Episodes dépressifs majeurs (c'est-à-dire caractérisés),
- Troubles obsessionnels compulsifs;
- Prévention des attaques de panique avec ou sans agoraphobie;
- Certains états dépressifs apparaissant lors des schizophrénies, en
association avec un tr",Princeps
ANALGAN,10 mg/ml,Solution injectable pour perfusion,PARACETAMOL,SYSTEME NERVEUX,ANALGESIQUES,"- Traitement de courte durée des douleurs d'intensité modérée, en
particulier en période post-opératoire et dans le traitement de courte
durée de la fièvre, lorsque la voie intraveineuse est cliniquement
justifiée par l'urgence de traiter la douleur",Générique
ANALGAN,500 MG,Comprimé,PARACETAMOL,SYSTEME NERVEUX,ANALGESIQUES,"Traitement symptomatique des douleurs d'intensité légère à modérée
et/ou des états fébriles.
Cette présentation est réservée à l'adulte et à l'enfant à partir de
27 kg (soit à partir d'environ 8 ans).",Générique
ANALGAN,500 MG,Comprimé,PARACETAMOL,SYSTEME NERVEUX,ANALGESIQUES,"Traitement symptomatique des douleurs d'intensité légère à modérée
et/ou des états fébriles.
Cette présentation est réservée à l'adulte et l'enfant à partir de 27
kg (soit environ 8 ans).",Générique
ANALGAN  ENFANT ET NOURRISSON,10 mg/ml,Solution injectable pour perfusion,PARACETAMOL,SYSTEME NERVEUX,ANALGESIQUES,"- Traitement de courte durée des douleurs d'intensité modérée, en
particulier en période post-opératoire et dans le traitement de courte
durée de la fièvre, lorsque la voie intraveineuse est cliniquement
justifiée par l'urgence de traiter la douleur",Générique
ANALGAN CODEINE,300 mg/25 mg,Comprimé,PARACETAMOL+CODEINE,SYSTEME NERVEUX,ANALGESIQUES,"ANALGAN CODEINE 300 mg/25 mg, comprimé est indiqué chez les patients
âgés de plus de 15 ans pour le traitement des douleurs aigues
d'intensité modérée qui ne peuvent pas être soulagées par d'autres
antalgiques comme le paracétamol ou l'ibuprofène (se",Générique
ANALGAN CODEINE,600 mg/50 mg,Comprimé,PARACETAMOL+CODEINE,SYSTEME NERVEUX,ANALGESIQUES,"ANALGAN CODEINE 600 mg/50 mg, comprimé est indiqué chez les patients
âgés de plus de 15 ans pour le traitement des douleurs aigues
d'intensité modérée qui ne peuvent pas être soulagées par d'autres
antalgiques comme le paracétamol ou l'ibuprofène (se",Générique
ANALGAN CODEINE,600 mg/50 mg,Comprimé,PARACETAMOL+CODEINE,SYSTEME NERVEUX,ANALGESIQUES,"ANALGAN CODEINE, comprimé est indiqué chez les patients âgés de plus
de 15 ans et de plus de 50 kg pour le traitement des douleurs aigues
d'intensité modérée qui ne peuvent pas être soulagées par d'autres
antalgiques comme le paracétamol ou l'ibuprof",Générique
ANALGAN EXTRA,500 mg/65 mg,Comprimé sécable,PARACETAMOL+CAFEINE,SYSTEME NERVEUX,ANALGESIQUES,"Traitement symptomatique des douleurs d'intensité légère à modérée
et/ou des états fébriles",Générique
ANALGAN JEUNE ENFANT,170 MG,Suppositoire,PARACETAMOL,SYSTEME NERVEUX,ANALGESIQUES,TRAITEMENT SYMPTOMATIQUE DES AFFECTIONS DOULOUREUSES ET/OU FEBRILES.,Générique
ANALGAN NOURRISSONS,80 MG,Suppositoire,PARACETAMOL,SYSTEME NERVEUX,ANALGESIQUES,"TRAITEMENT SYMPTOMATIQUE DES AFFECTIONS
DOULOUREUSES ET/OU FEBRILES.",Générique
ANAPEN,"300 microgrammes/0,3 ml",Solution injectable,ADRENALINE,SYSTEME RESPIRATOIRE,MEDICAMENTS POUR LE NEZ,"Traitement d'urgence des symptômes du choc anaphylactique provoqué par
les cacahuètes ou par d'autres aliments, médicaments, morsure ou
piqûre d'insectes, autres allergènes, ainsi que du choc anaphylactique
idiopathique ou induit par un exercice phys",Princeps
ANAPEN,150 microgrammes/0.3ml,Solution injectable,ADRENALINE,SYSTEME RESPIRATOIRE,MEDICAMENTS POUR LE NEZ,"Traitement d'urgence des symptômes du choc anaphylactique provoqué par
les cacahuètes ou par d'autres aliments, médicaments, morsure ou
piqûre d'insectes, autres allergènes, ainsi que du choc anaphylactique
idiopathique ou induit par un exercice phys",Princeps
ANASPASM-ORO,80 mg,Comprimé orodispersible,PHLOROGLUCINOL,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS UTILISES EN CAS DE PROBLEMES FONCTIONNELS GASTRO-INTESTINAUX,"- Traitement symptomatique des douleurs liées aux troubles
fonctionnels du tube digestif et des voies biliaires.
- Traitement des manifestations spasmodiques et douloureuses aiguës
des voies urinaires: coliques néphrétiques.
- Traitement symptomatiqu",Générique
ANASPASM-ORO,80 mg,Comprimé orodispersible,PHLOROGLUCINOL,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS UTILISES EN CAS DE PROBLEMES FONCTIONNELS GASTRO-INTESTINAUX,"- Traitement symptomatique des douleurs liées aux troubles
fonctionnels du tube digestif et des voies biliaires.
- Traitement des manifestations spasmodiques et douloureuses aiguës
des voies urinaires: coliques néphrétiques.
- Traitement symptomatiqu",Générique
ANASTRA,1 mg,Comprimé pelliculé,ANASTROZOLE,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,THERAPEUTIQUE ENDOCRINE,"* Traitement du cancer du sein avancé à récepteurs hormonaux positifs
chez la femme ménopausée;
*Traitement adjuvant du cancer du sein invasif à récepteurs hormonaux
positifs à un stade précoce chez la femme ménopausée;
*Traitement adjuvant  du cance",Générique
ANASTRAZOLE ACCORD,1 mg,Comprimé pelliculé,ANASTROZOLE,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,THERAPEUTIQUE ENDOCRINE,"* Traitement du cancer du sein avancé à récepteurs hormonaux positifs
chez la femme ménopausée;
*Traitement adjuvant du cancer du sein invasif à récepteurs hormonaux
positifs à un stade précoce chez la femme ménopausée;
*Traitement adjuvant  du cance",Générique
ANASTRAZOLE GERDA,1 mg,Comprimé pelliculé,ANASTROZOLE,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,THERAPEUTIQUE ENDOCRINE,"* Traitement du cancer du sein avancé à récepteurs hormonaux positifs
chez la femme ménopausée;
*Traitement adjuvant du cancer du sein invasif à récepteurs hormonaux
positifs à un stade précoce chez la femme ménopausée;
*Traitement adjuvant  du cance",Générique
ANASTRAZOLE NEAPOLIS,1 mg,Comprimé pelliculé,ANASTROZOLE,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,THERAPEUTIQUE ENDOCRINE,"* Traitement du cancer du sein avancé à récepteurs hormonaux positifs
chez la femme ménopausée;
*Traitement adjuvant du cancer du sein invasif à récepteurs hormonaux
positifs à un stade précoce chez la femme ménopausée;
*Traitement adjuvant  du cance",Générique
ANASTRAZOLE ZAPHYR PHARMACEUTICALS,1 mg,Comprimé pelliculé,ANASTROZOLE,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,THERAPEUTIQUE ENDOCRINE,"* Traitement du cancer du sein avancé à récepteurs hormonaux positifs
chez la femme ménopausée;
*Traitement adjuvant du cancer du sein invasif à récepteurs hormonaux
positifs à un stade précoce chez la femme ménopausée;
*Traitement adjuvant  du cance",Générique
ANASTRODEX,1 mg,Comprimé pelliculé,ANASTROZOLE,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,THERAPEUTIQUE ENDOCRINE,"- Traitement du cancer du sein avancé à récepteurs hormoaux chez la
femme ménopausée ;
- Traitement adjuvant du cancer du sein invasif à récepteurs hormonaux
positifs à un stade pécoce chez la femme ménopausée ;
- Traitement adjuvant du cancer du sei",Générique
ANAXERYL,,Pommade  dermique,DIOXYANTHRANOL+ICHTHYOLAMMONIUM+RESORCINE,MEDICAMENTS DERMATOLOGIQUES,ANTI-PSORIASIS,"Nouvelles indications:
- Traitement du psoriasis
- Traitement d'appoint des pélades.",Princeps
ANDROCUR,50 MG,Comprimé sécable,CYPROTERONE,SYSTEME GENITO URINAIRE ET HORMONES SEXUELLES,HORMONES SEXUELLES ET MODULATEURS DU SYSTEME GENITAL,"Chez l'homme:
* Pour le traitement palliatif du cancer de la prostate inopérable,
métastatique ou localement avancé,
- lorsque le traitement par analogues de la LH-RH ou une
intervention opératoire s'est avéré insuffisant, est contre indiqué ou
lorsq",Princeps
ANDROTARDYL,250 MG,Solution injectable,TESTOSTERONE,SYSTEME GENITO URINAIRE ET HORMONES SEXUELLES,HORMONES SEXUELLES ET MODULATEURS DU SYSTEME GENITAL,"- Hypogonadisme masculin, par déficit documenté en testostérone,
quelle qu'en soit l'étiologie",Princeps
ANESTANE,100%,Solution pour inhalation,HALOTHANE,SYSTEME NERVEUX,ANESTHESIQUES,Anesthésique général par inhalation.,Générique
ANGIOTEC,20 MG,Comprimé sécable,ENALAPRIL,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,"· Traitement de l'hypertension artérielle.
· Traitement de l'insuffisance cardiaque symptomatique.
· Prévention de l'insuffisance cardiaque symptomatique chez des
patients ayant une dysfonction ventriculaire gauche asymptomatique
(fraction d'éjection",Générique
ANGIOTEC,5 MG,Comprimé sécable,ENALAPRIL,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,"· Traitement de l'hypertension artérielle.
· Traitement de l'insuffisance cardiaque symptomatique.
· Prévention de l'insuffisance cardiaque symptomatique chez des
patients ayant une dysfonction ventriculaire gauche asymptomatique
(fraction d'éjection",Générique
ANGIOZIDE,20mg/12.5 mg,Comprimé sécable,ENALAPRIL+HYDROCHLOROTHIAZIDE,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,"Traitement de l'hypertension artérielle en cas d'échec thérapeutique
d'une monothérapie par un inhibiteur de l'enzyme de conversion.",Générique
ANGIPAX,,Comprimé orodispersible,HOMEOPATHIE,DIVERS,TOUS LES AUTRES PRODUITS THERAPEUTIQUES,"Médicaments homéopathique traditionnellement utilisé dans le
traitement des angines non bactériennes (inflammation, douleur,
rougeur, fièvre).",Princeps
ANGORAL,4 mg,Comprimé sécable,MOLSIDOMINE,SYSTEME CARDIOVASCULAIRE,THERAPIE CARDIAQUE,"Angor sévère rebelle aux posologies usuelles de la molsidomine.
Les comprimés de Molsidogam ne sont pas adaptés au traitement de la
crise d'angor.",Générique
ANGORAL,2 mg,Comprimé sécable,MOLSIDOMINE,SYSTEME CARDIOVASCULAIRE,THERAPIE CARDIAQUE,"Traitement préventif de la crise angineuse sous toutes ses formes.
Les comprimés de Molsidogam ne sont pas adaptés au traitement de la
crise d'angor.",Générique
ANORO,55µg/22µg,Poudre pour inhalation buccale,UMECLIDINUM+VILANTEROL,SYSTEME RESPIRATOIRE,MEDICAMENTS DES MALADIES RESPIRATOIRES OBSTRUCTIVE,"Anoro est indiqué en traitement bronchodilatateur continu pour
soulager les symptômes chez les patients adultes présentant une
bronchopneumopathie chronique obstructive (BPCO).",Princeps
ANSEMID,40 mg,Comprimé sécable,FUROSEMIDE,SYSTEME CARDIOVASCULAIRE,DIURETIQUES,"OEdèmes d'origine cardiaque ou rénale.
OEdèmes d'origine hépatique, le plus souvent en association avec un
diurétique épargneur de potassium.
Hypertension artérielle chez le patient insuffisant rénal chronique,
en cas de contre-indication aux diuréti",Générique
ANSEMID,40 mg,Comprimé sécable,FUROSEMIDE,SYSTEME CARDIOVASCULAIRE,DIURETIQUES,"OEdèmes d'origine cardiaque ou rénale.
OEdèmes d'origine hépatique, le plus souvent en association avec un
diurétique épargneur de potassium.
Hypertension artérielle chez le patient insuffisant rénal chronique,
en cas de contre-indication aux diuréti",Générique
ANSEMID,500 mg,Comprimé sécable,FUROSEMIDE,SYSTEME CARDIOVASCULAIRE,DIURETIQUES,"- Insuffisance rénale chronique avant le stade de l'hémodialyse
(clairance de la créatinine >= 5 ml/Min): hypertension artérielle ou
rétention hydrosodée.
- Insuffisance rénale chronique au stade de l'hémodialyse avec diurèse
résiduelle faible: maint",Générique
ANSEMID,40 mg,Comprimé sécable,FUROSEMIDE,SYSTEME CARDIOVASCULAIRE,DIURETIQUES,"* Oedèmes d'origine cardiaque ou rénale
* Oedèmes d'origine hépatique, le plus souvent en association avec un
diurétique épargneur de potassium
* Hypertension artérielle",Générique
ANTACID,,Suspension buvable,ALUMINIUM HYDROXYDE+MAGNESIUM HYDROXYDE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS LIES A DES PROBLEMES D'ACIDITE,"Ce médicaments est indiqué chez l'adulte et l'adolescent de plus de 15
ans dans les brûlures d'estomac et remontées acides.",Générique
ANTADINE,100 mg,Comprimé pelliculé,FLURBIPROFENE,MUSCLE ET SQUELETTE,ANTI-INFLAMMATOIRES ET ANTIRHUMATISMAUX,"Elles procèdent de l'activité anti-inflammatoire du flurbiprofène, de
l'importance des manifestations d'intolérance auxquelles le médicament
donne lieu et de sa place dans l'éventail des produits
anti-inflammatoires actuellement disponibles. Elles so",Générique
ANTAFEN,100 mg,Comprimé pelliculé,FLURBIPROFENE,MUSCLE ET SQUELETTE,ANTI-INFLAMMATOIRES ET ANTIRHUMATISMAUX,"Elles procèdent de l'activité anti-inflammatoire du flurbiprofène, de
l'importance des manifestations d'intolérance auxquelles le médicament
donne lieu et de sa place dans l'éventail des produits
anti-inflammatoires actuellement disponibles. Elles so",Générique
ANTAFEN,100 mg,Comprimé pelliculé,FLURBIPROFENE,MUSCLE ET SQUELETTE,ANTI-INFLAMMATOIRES ET ANTIRHUMATISMAUX,"Elles procèdent de l'activité anti-inflammatoire du flurbiprofène, de
l'importance des manifestations d'intolérance auxquelles le médicament
donne lieu et de sa place dans l'éventail des produits
anti-inflammatoires actuellement disponibles. Elles so",Générique
ANTAGONINE,300 MG,Comprimé,RANITIDINE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS LIES A DES PROBLEMES D'ACIDITE,"ULCERE DUODENAL ET ULCERE GASTRIQUE EVOLUTIFS.
OESOPHAGITE PAR REFLUX GASTRO-OESOPHAGIEN.
SYNDROME DE ZOLLINGER-ELLISON.",Générique
ANTAGONINE,150 MG,Comprimé,RANITIDINE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS LIES A DES PROBLEMES D'ACIDITE,"ULCERE DUODENAL ET ULCERE GASTRIQUE EVOLUTIFS.
OESOPHAGITE PAR REFLUX GASTRO-OESOPHAGIEN.
SYNDROME DE ZOLLINGER-ELLISON.",Générique
ANTAGONINE,150 MG,Comprimé,RANITIDINE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS LIES A DES PROBLEMES D'ACIDITE,"ULCERE DUODENAL ET ULCERE GASTRIQUE EVOLUTIFS.
OESOPHAGITE PAR REFLUX GASTRO-OESOPHAGIEN.
SYNDROME DE ZOLLINGER-ELLISON.",Générique
ANTAGONINE 50,50 mg /2ml,Solution injectable,RANITIDINE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS LIES A DES PROBLEMES D'ACIDITE,"- Ulcère gastrique ou duodénal évolutif.
- Syndrome de Zollinger-Ellison.
- Hémorragies de la maladie ulcéreuse gastro-duodénale.
- Lésions gastro-duodénales liées au stress.",Générique
ANTAGONINE 75,75 mg,Granules effervescents,RANITIDINE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS LIES A DES PROBLEMES D'ACIDITE,"Traitement symptomatique du reflux gastro-oesophagien lorsque les
règles hygiénodiététiques ne se sont pas montrées efficaces.",Générique
ANTIBACIN,2 gr,Pdre p.prep.injectable,CEFTRIAXONE,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIBACTERIENS (USAGE SYSTEMIQUE),"- INFECTIONS SEVERES DUES AUX GERMES SENSIBLES A LA CEFTRIAXONE, Y
COMPRIS LES MENINGITES A l'EXCLUSION DE CELLES A LISTERIA
MONOCYTOGENES.",Générique
ANTILIP,200 mg,Gélule,FENOFIBRATE,SYSTEME CARDIOVASCULAIRE,AGENTS REDUISANT LES LIPIDES SERIQUES,"ANTILIP est indiqué en complément d'un régime alimentaire adapté et
d'autres mesures non pharmacologiques (telles que exercice, perte de
poids) dans les cas suivants :
· Traitement d'une hypertriglycéridémie sévère associée ou non à un
faible taux de",Générique
